Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"RPL3","Ribosomal Protein L3","Protein Coding","42","GC22M048526","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL3"
"RPLP0","Ribosomal Protein Lateral Stalk Subunit P0","Protein Coding","42","GC12M120196","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP0"
"RPL8","Ribosomal Protein L8","Protein Coding","42","GC08M144821","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL8"
"RPS29","Ribosomal Protein S29","Protein Coding","42","GC14M049570","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS29"
"C8G","Complement C8 Gamma Chain","Protein Coding","41","GC09P136944","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C8G"
"F13B","Coagulation Factor XIII B Chain","Protein Coding","41","GC01M197008","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F13B"
"UBA52","Ubiquitin A-52 Residue Ribosomal Protein Fusion Product 1","Protein Coding","41","GC19P018563","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA52"
"RPLP1","Ribosomal Protein Lateral Stalk Subunit P1","Protein Coding","41","GC15P077111","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP1"
"RPS23","Ribosomal Protein S23","Protein Coding","41","GC05M082273","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS23"
"RPL27A","Ribosomal Protein L27a","Protein Coding","41","GC11P008682","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL27A"
"RPL30","Ribosomal Protein L30","Protein Coding","41","GC08M098024","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL30"
"RPS16","Ribosomal Protein S16","Protein Coding","41","GC19M039433","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS16"
"RPS15","Ribosomal Protein S15","Protein Coding","41","GC19P001438","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS15"
"FAU","FAU Ubiquitin Like And Ribosomal Protein S30 Fusion","Protein Coding","40","GC11M065120","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAU"
"OAS2","2'-5'-Oligoadenylate Synthetase 2","Protein Coding","40","GC12P112978","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS2"
"RPL14","Ribosomal Protein L14","Protein Coding","40","GC03P040458","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL14"
"RPS4X","Ribosomal Protein S4 X-Linked","Protein Coding","40","GC0XM072255","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4X"
"RPL32","Ribosomal Protein L32","Protein Coding","40","GC03M012834","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL32"
"RPS28","Ribosomal Protein S28","Protein Coding","40","GC19P008332","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS28"
"RPL24","Ribosomal Protein L24","Protein Coding","40","GC03M101681","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL24"
"RPL28","Ribosomal Protein L28","Protein Coding","40","GC19P056476","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL28"
"RPL34","Ribosomal Protein L34","Protein Coding","40","GC04P108620","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL34"
"RPS11","Ribosomal Protein S11","Protein Coding","40","GC19P049496","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS11"
"RPS8","Ribosomal Protein S8","Protein Coding","40","GC01P044775","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS8"
"RPL18A","Ribosomal Protein L18a","Protein Coding","40","GC19P026644","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL18A"
"RPL23","Ribosomal Protein L23","Protein Coding","40","GC17M038847","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL23"
"RPL37","Ribosomal Protein L37","Protein Coding","40","GC05M040825","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL37"
"RPL6","Ribosomal Protein L6","Protein Coding","40","GC12M112320","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL6"
"MX2","MX Dynamin Like GTPase 2","Protein Coding","39","GC21P041361","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MX2"
"RPL3L","Ribosomal Protein L3 Like","Protein Coding","39","GC16M001943","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL3L"
"RPS21","Ribosomal Protein S21","Protein Coding","39","GC20P062387","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS21"
"RPL29","Ribosomal Protein L29","Protein Coding","39","GC03M052012","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL29"
"IFNA5","Interferon Alpha 5","Protein Coding","38","GC09M021304","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA5"
"RPS25","Ribosomal Protein S25","Protein Coding","38","GC11M119015","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS25"
"RPL36AL","Ribosomal Protein L36a Like","Protein Coding","38","GC14M049619","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36AL"
"RPS27L","Ribosomal Protein S27 Like","Protein Coding","38","GC15M067355","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS27L"
"RPL17","Ribosomal Protein L17","Protein Coding","38","GC18M049488","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL17"
"RPL38","Ribosomal Protein L38","Protein Coding","38","GC17P074204","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL38"
"RPL37A","Ribosomal Protein L37a","Protein Coding","38","GC02P216498","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL37A"
"IFNA6","Interferon Alpha 6","Protein Coding","37","GC09M021349","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA6"
"RPL26L1","Ribosomal Protein L26 Like 1","Protein Coding","37","GC05P172958","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL26L1"
"IFNA21","Interferon Alpha 21","Protein Coding","36","GC09M021165","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA21"
"RPL22L1","Ribosomal Protein L22 Like 1","Protein Coding","36","GC03M170864","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL22L1"
"RPL36A","Ribosomal Protein L36a","Protein Coding","36","GC0XP101392","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36A"
"IFNA8","Interferon Alpha 8","Protein Coding","35","GC09P021409","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA8"
"IFNA10","Interferon Alpha 10","Protein Coding","35","GC09M021474","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA10"
"RPL10L","Ribosomal Protein L10 Like","Protein Coding","35","GC14M046651","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL10L"
"IFNA4","Interferon Alpha 4","Protein Coding","34","GC09M021186","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA4"
"IFNA17","Interferon Alpha 17","Protein Coding","34","GC09M021227","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA17"
"IFNA7","Interferon Alpha 7","Protein Coding","34","GC09M021473","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA7"
"IFNA13","Interferon Alpha 13","Protein Coding","34","GC09M021367","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA13"
"RPL39","Ribosomal Protein L39","Protein Coding","34","GC0XM119786","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL39"
"RPS4Y1","Ribosomal Protein S4 Y-Linked 1","Protein Coding","34","GC0YP002841","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4Y1"
"IFNA14","Interferon Alpha 14","Protein Coding","33","GC09M021239","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA14"
"IFNA16","Interferon Alpha 16","Protein Coding","31","GC09M021216","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA16"
"RPS4Y2","Ribosomal Protein S4 Y-Linked 2","Protein Coding","31","GC0YP020756","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4Y2"
"CGAS","Cyclic GMP-AMP Synthase","Protein Coding","30","GC06M073414","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGAS"
"RPL41","Ribosomal Protein L41","Protein Coding","28","GC12P056393","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL41"
"RPS10-NUDT3","RPS10-NUDT3 Readthrough","Protein Coding","23","GC06M048717","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS10-NUDT3"
"RPL17-C18orf32","RPL17-C18orf32 Readthrough","Protein Coding","21","GC18M049481","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL17-C18orf32"
"RPL36A-HNRNPH2","RPL36A-HNRNPH2 Readthrough","Protein Coding","19","GC0XP101390","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36A-HNRNPH2"
"LOC102723407","Immunoglobulin Heavy Variable 4-38-2-Like","Protein Coding","7","GC14P8B0041","1.00327837467194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC102723407"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","54","GC01M011106","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"COMT","Catechol-O-Methyltransferase","Protein Coding","52","GC22P019941","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"HDAC2","Histone Deacetylase 2","Protein Coding","52","GC06M113933","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC2"
"PRKACA","Protein Kinase CAMP-Activated Catalytic Subunit Alpha","Protein Coding","52","GC19M014129","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKACA"
"DNMT1","DNA Methyltransferase 1","Protein Coding","51","GC19M010133","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1"
"ITGB1","Integrin Subunit Beta 1","Protein Coding","51","GC10M032890","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1"
"CSNK2B","Casein Kinase 2 Beta","Protein Coding","50","GC06P055205","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2B"
"RIPK1","Receptor Interacting Serine/Threonine Kinase 1","Protein Coding","50","GC06P003073","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1"
"PLAT","Plasminogen Activator, Tissue Type","Protein Coding","50","GC08M042174","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAT"
"RDX","Radixin","Protein Coding","50","GC11M109864","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDX"
"POR","Cytochrome P450 Oxidoreductase","Protein Coding","50","GC07P075899","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POR"
"IDE","Insulin Degrading Enzyme","Protein Coding","49","GC10M092451","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE"
"GLA","Galactosidase Alpha","Protein Coding","49","GC0XM101393","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA"
"GPX1","Glutathione Peroxidase 1","Protein Coding","48","GC03M049486","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX1"
"ATP1B1","ATPase Na+/K+ Transporting Subunit Beta 1","Protein Coding","48","GC01P169105","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1B1"
"ADAM9","ADAM Metallopeptidase Domain 9","Protein Coding","48","GC08P038996","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM9"
"RHOA","Ras Homolog Family Member A","Protein Coding","48","GC03M049359","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA"
"FBN1","Fibrillin 1","Protein Coding","47","GC15M048408","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1"
"MIB1","MIB E3 Ubiquitin Protein Ligase 1","Protein Coding","47","GC18P021704","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIB1"
"GGCX","Gamma-Glutamyl Carboxylase","Protein Coding","47","GC02M085544","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGCX"
"GNB1","G Protein Subunit Beta 1","Protein Coding","47","GC01M001785","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB1"
"CIT","Citron Rho-Interacting Serine/Threonine Kinase","Protein Coding","47","GC12M119650","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIT"
"ACADM","Acyl-CoA Dehydrogenase Medium Chain","Protein Coding","47","GC01P075724","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADM"
"BCKDK","Branched Chain Keto Acid Dehydrogenase Kinase","Protein Coding","47","GC16P032547","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCKDK"
"TCF12","Transcription Factor 12","Protein Coding","47","GC15P056918","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF12"
"PRKAR2A","Protein Kinase CAMP-Dependent Type II Regulatory Subunit Alpha","Protein Coding","47","GC03M048744","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR2A"
"AP3B1","Adaptor Related Protein Complex 3 Subunit Beta 1","Protein Coding","46","GC05M078000","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP3B1"
"NEK9","NIMA Related Kinase 9","Protein Coding","46","GC14M075079","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK9"
"ETFA","Electron Transfer Flavoprotein Subunit Alpha","Protein Coding","46","GC15M076215","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETFA"
"BRD4","Bromodomain Containing 4","Protein Coding","46","GC19M015236","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD4"
"NUP62","Nucleoporin 62","Protein Coding","46","GC19M049906","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP62"
"PLOD2","Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 2","Protein Coding","46","GC03M146069","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLOD2"
"PPT1","Palmitoyl-Protein Thioesterase 1","Protein Coding","46","GC01M040072","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPT1"
"SLC27A2","Solute Carrier Family 27 Member 2","Protein Coding","46","GC15P050182","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC27A2"
"POLA1","DNA Polymerase Alpha 1, Catalytic Subunit","Protein Coding","46","GC0XP024693","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLA1"
"PKP2","Plakophilin 2","Protein Coding","46","GC12M032790","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKP2"
"RALA","RAS Like Proto-Oncogene A","Protein Coding","46","GC07P039622","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALA"
"SCARB1","Scavenger Receptor Class B Member 1","Protein Coding","46","GC12M124776","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB1"
"ARF6","ADP Ribosylation Factor 6","Protein Coding","45","GC14P049895","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF6"
"AP2M1","Adaptor Related Protein Complex 2 Subunit Mu 1","Protein Coding","45","GC03P184174","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP2M1"
"MFGE8","Milk Fat Globule EGF And Factor V/VIII Domain Containing","Protein Coding","45","GC15M088898","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFGE8"
"LOX","Lysyl Oxidase","Protein Coding","45","GC05M122063","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOX"
"FBLN5","Fibulin 5","Protein Coding","45","GC14M091869","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBLN5"
"GFER","Growth Factor, Augmenter Of Liver Regeneration","Protein Coding","45","GC16P001984","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFER"
"ATP6V1A","ATPase H+ Transporting V1 Subunit A","Protein Coding","45","GC03P113747","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1A"
"CYB5R3","Cytochrome B5 Reductase 3","Protein Coding","45","GC22M042617","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5R3"
"AASS","Aminoadipate-Semialdehyde Synthase","Protein Coding","45","GC07M122073","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASS"
"ADAMTS1","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 1","Protein Coding","45","GC21M026835","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS1"
"BRD2","Bromodomain Containing 2","Protein Coding","45","GC06P055236","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD2"
"TLE1","TLE Family Member 1, Transcriptional Corepressor","Protein Coding","45","GC09M081583","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLE1"
"PRKAR2B","Protein Kinase CAMP-Dependent Type II Regulatory Subunit Beta","Protein Coding","45","GC07P107044","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR2B"
"RTN4","Reticulon 4","Protein Coding","45","GC02M054934","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTN4"
"POFUT1","Protein O-Fucosyltransferase 1","Protein Coding","45","GC20P032207","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POFUT1"
"SIRT5","Sirtuin 5","Protein Coding","45","GC06P013574","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT5"
"NGLY1","N-Glycanase 1","Protein Coding","45","GC03M025718","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGLY1"
"PVR","PVR Cell Adhesion Molecule","Protein Coding","45","GC19P044644","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVR"
"TOR1A","Torsin Family 1 Member A","Protein Coding","45","GC09M129812","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOR1A"
"COL6A1","Collagen Type VI Alpha 1 Chain","Protein Coding","44","GC21P045981","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL6A1"
"AGPS","Alkylglycerone Phosphate Synthase","Protein Coding","44","GC02P177392","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGPS"
"HYOU1","Hypoxia Up-Regulated 1","Protein Coding","44","GC11M119045","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYOU1"
"GGH","Gamma-Glutamyl Hydrolase","Protein Coding","44","GC08M063015","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGH"
"AKAP9","A-Kinase Anchoring Protein 9","Protein Coding","44","GC07P091940","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP9"
"PTGES2","Prostaglandin E Synthase 2","Protein Coding","44","GC09M128120","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES2"
"TLE3","TLE Family Member 3, Transcriptional Corepressor","Protein Coding","44","GC15M070047","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLE3"
"SRP54","Signal Recognition Particle 54","Protein Coding","44","GC14P034981","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP54"
"PMPCA","Peptidase, Mitochondrial Processing Subunit Alpha","Protein Coding","44","GC09P136410","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMPCA"
"PMPCB","Peptidase, Mitochondrial Processing Subunit Beta","Protein Coding","44","GC07P103297","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMPCB"
"SEPSECS","Sep (O-Phosphoserine) TRNA:Sec (Selenocysteine) TRNA Synthase","Protein Coding","44","GC04M025121","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPSECS"
"SLC25A21","Solute Carrier Family 25 Member 21","Protein Coding","44","GC14M036677","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A21"
"NUP214","Nucleoporin 214","Protein Coding","44","GC09P131125","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP214"
"RAB10","RAB10, Member RAS Oncogene Family","Protein Coding","44","GC02P026033","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB10"
"NARS2","Asparaginyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","44","GC11M078435","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NARS2"
"RAB2A","RAB2A, Member RAS Oncogene Family","Protein Coding","44","GC08P060516","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB2A"
"ATP6AP1","ATPase H+ Transporting Accessory Protein 1","Protein Coding","43","GC0XP154428","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6AP1"
"GTF2F2","General Transcription Factor IIF Subunit 2","Protein Coding","43","GC13P045120","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2F2"
"GDF15","Growth Differentiation Factor 15","Protein Coding","43","GC19P026656","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF15"
"EXOSC3","Exosome Component 3","Protein Coding","43","GC09M037772","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC3"
"ERC1","ELKS/RAB6-Interacting/CAST Family Member 1","Protein Coding","43","GC12P000972","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERC1"
"CENPF","Centromere Protein F","Protein Coding","43","GC01P214603","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPF"
"CDK5RAP2","CDK5 Regulatory Subunit Associated Protein 2","Protein Coding","43","GC09M120388","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5RAP2"
"CUL2","Cullin 2","Protein Coding","43","GC10M035046","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL2"
"MOGS","Mannosyl-Oligosaccharide Glucosidase","Protein Coding","43","GC02M074461","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOGS"
"RAP1GDS1","Rap1 GTPase-GDP Dissociation Stimulator 1","Protein Coding","43","GC04P098261","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAP1GDS1"
"TRMT1","TRNA Methyltransferase 1","Protein Coding","43","GC19M013104","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT1"
"TARS2","Threonyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","43","GC01P150502","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARS2"
"PLD3","Phospholipase D Family Member 3","Protein Coding","43","GC19P040348","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD3"
"PRIM1","DNA Primase Subunit 1","Protein Coding","43","GC12M056731","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRIM1"
"RAB1A","RAB1A, Member RAS Oncogene Family","Protein Coding","43","GC02M065072","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB1A"
"NIN","Ninein","Protein Coding","43","GC14M050719","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIN"
"PABPC1","Poly(A) Binding Protein Cytoplasmic 1","Protein Coding","43","GC08M100685","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPC1"
"RBX1","Ring-Box 1","Protein Coding","43","GC22P040951","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBX1"
"LARP7","La Ribonucleoprotein 7, Transcriptional Regulator","Protein Coding","42","GC04P112636","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARP7"
"DNAJC19","DnaJ Heat Shock Protein Family (Hsp40) Member C19","Protein Coding","42","GC03M180983","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC19"
"CYB5B","Cytochrome B5 Type B","Protein Coding","42","GC16P069424","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5B"
"AKAP8","A-Kinase Anchoring Protein 8","Protein Coding","42","GC19M015354","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP8"
"EIF4H","Eukaryotic Translation Initiation Factor 4H","Protein Coding","42","GC07P074174","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4H"
"VPS11","VPS11 Core Subunit Of CORVET And HOPS Complexes","Protein Coding","42","GC11P119067","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS11"
"PRIM2","DNA Primase Subunit 2","Protein Coding","42","GC06P057314","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRIM2"
"SLC30A9","Solute Carrier Family 30 Member 9","Protein Coding","42","GC04P041992","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A9"
"PCNT","Pericentrin","Protein Coding","42","GC21P046324","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNT"
"NPC2","NPC Intracellular Cholesterol Transporter 2","Protein Coding","42","GC14M074476","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC2"
"RAB5C","RAB5C, Member RAS Oncogene Family","Protein Coding","42","GC17M042124","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB5C"
"PABPC4","Poly(A) Binding Protein Cytoplasmic 4","Protein Coding","42","GC01M039560","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPC4"
"ACSL3","Acyl-CoA Synthetase Long Chain Family Member 3","Protein Coding","41","GC02P222860","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSL3"
"FBN2","Fibrillin 2","Protein Coding","41","GC05M128257","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN2"
"HS2ST1","Heparan Sulfate 2-O-Sulfotransferase 1","Protein Coding","41","GC01P086914","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HS2ST1"
"HS6ST2","Heparan Sulfate 6-O-Sulfotransferase 2","Protein Coding","41","GC0XM132626","0.965649724006653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HS6ST2"
