Drug,Accession,CID
SU11248 analog 12f,P00533,5329106
SU11248 analog 12h,P00533,5329108
SU6668,P00533,5329099
CHEMBL542955,P00533,45261997
CHEMBL67219,P00533,10401378
CHEMBL67424,P00533,10402592
CHEMBL67436,P00533,11723086
CHEMBL67170,P00533,10246609
CHEMBL67059,P00533,10446889
CHEMBL66932,P00533,10085863
CHEMBL66981,P00533,11778521
CHEMBL67702,P00533,10065445
CHEMBL67991,P00533,10041980
CHEMBL69820,P00533,11779874
ZINC01908908,P00533,1641261
CHEMBL307093,P00533,10398928
CHEMBL69585,P00533,11722903
CHEMBL68185,P00533,10331922
CHEMBL69378,P00533,10083695
CHEMBL66925,P00533,10018196
CHEMBL66924,P00533,10314618
CHEMBL66107,P00533,10473386
CHEMBL66329,P00533,10427421
CHEMBL66101,P00533,9996177
CHEMBL66100,P00533,10336427
CHEMBL66063,P00533,10422972
CHEMBL66071,P00533,10355832
CHEMBL66502,P00533,10425395
CHEMBL66612,P00533,9882655
CHEMBL66786,P00533,10040402
CHEMBL66787,P00533,10245626
CHEMBL66785,P00533,10422592
CHEMBL66718,P00533,10265642
CHEMBL66618,P00533,10083699
CHEMBL66643,P00533,9903563
CHEMBL70130,P00533,9882618
CHEMBL68401,P00533,10039460
dithiobis(1H-indole-3-carboxamide) deriv. 10e,P00533,5328596
CHEMBL308466,P00533,10447210
CHEMBL306234,P00533,10470384
CBDivE_015688,P00533,6536870
CHEMBL304336,P00533,10468421
CHEMBL303872,P00533,10421743
CHEMBL304333,P00533,10060170
CHEMBL303704,P00533,11778467
CHEMBL308210,P00533,10406907
CHEMBL63575,P00533,10402251
CHEMBL65850,P00533,10424517
CHEMBL70149,P00533,10017166
CHEMBL236384,P00533,17757434
CHEMBL1173398,P00533,12482705
CHEMBL1289977,P00533,52944812
CHEMBL1173023,P00533,49799021
CHEMBL1172878,P00533,49799782
4-Anilidoquinazoline deriv. 23a,P00533,5328824
dithiobis(1H-indole-3-alkanoic acid) deriv. 29,P00533,5328560
CHEMBL423159,P00533,10084671
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 48",P00533,5328873
CHEMBL160207,P00533,10253992
CHEMBL1171638,P00533,49799287
CHEMBL215520,P00533,11525136
CHEMBL600048,P00533,46229377
4-Anilidoquinazoline deriv. 18a,P00533,5328821
1 H-indole-3-alkanamide deriv. 11e,P00533,5328590
CHEMBL486437,P00533,24894886
CHEMBL606027,P00533,46229538
dithiobis(1H-indole-3-carboxamide) deriv. 10z,P00533,5328617
CHEMBL504416,P00533,44586490
CHEMBL483108,P00533,10251852
CHEMBL590083,P00533,46207040
CHEMBL529663,P00533,24894117
CHEMBL334032,P00533,44345342
()-oxazepam hemisuccinate sodium salt,P00533,44593607
Ambcb6041192,P00533,9604669
CHEMBL1088348,P00533,45276112
1 H-indole-3-alkanamide deriv. 10o,P00533,5328583
CHEMBL1172418,P00533,49798983
CHEMBL1172947,P00533,49799783
CHEMBL213371,P00533,44416499
CHEMBL591440,P00533,46229565
CHEMBL303391,P00533,10445612
CHEMBL1173789,P00533,49799770
CHEMBL304668,P00533,10445611
CHEMBL496129,P00533,44580358
CHEMBL1243326,P00533,46929857
CHEMBL495729,P00533,10479082
CHEMBL485286,P00533,44580077
CHEMBL521734,P00533,44580532
CHEMBL195903,P00533,11432911
CHEMBL497350,P00533,44580449
CHEMBL497353,P00533,44580778
CHEMBL522579,P00533,10089048
CHEMBL523559,P00533,44580420
CHEMBL526639,P00533,44580649
CHEMBL497563,P00533,9864418
CHEMBL478649,P00533,24856363
CHEMBL485285,P00533,9983303
CHEMBL197568,P00533,23646543
1 H-indole-3-alkanamide deriv. 10i,P00533,5328577
CHEMBL246356,P00533,17748275
CHEMBL438075,P00533,44410574
CHEMBL1172602,P00533,49798984
CHEMBL74645,P00533,10638517
Tyrphostin deriv. 19,P00533,5328757
BAS 00342581,P00533,6862734
CHEMBL1172877,P00533,49799781
CHEMBL425074,P00533,11575228
CHEMBL592240,P00533,46229701
CHEMBL1095445,P00533,46886972
CHEMBL122721,P00533,44347577
CHEMBL592210,P00533,46229380
CHEMBL498248,P00533,10359253
1 H-indole-3-alkanamide deriv. 10s,P00533,5328586
AC1NO7ZC,P00533,5083839
CHEMBL347854,P00533,14943557
CHEMBL187007,P00533,44395178
CHEMBL279481,P00533,9928668
Indolin-2-one deriv. 9c,P00533,5329165
CHEMBL187431,P00533,10198953
CHEMBL602645,P00533,46207036
CHEMBL102346,P00533,10907042
Quinoline-Containing Inhibitor 17,P00533,2794462
CHEMBL104067,P00533,11048367
CHEMBL249295,P00533,16214946
CHEMBL539807,P00533,18770789
Quinoline-Containing Inhibitor 20,P00533,5329285
CHEMBL475817,P00533,11626920
Quinoline-Containing Inhibitor 15,P00533,5329281
Quinoline-Containing Inhibitor 16,P00533,5329282
Quinoline-Containing Inhibitor 19,P00533,5329284
Tyrphostin AG 30,P00533,5328793
Quinoline-Containing Inhibitor 13,P00533,5329279
Tyrphostin AG 808,P00533,5329275
Quinoline-Containing Inhibitor 18,P00533,5329283
Quinoline-Containing Inhibitor 14,P00533,5329280
CHEMBL398606,P00533,11248502
CHEMBL425083,P00533,11561637
CHEMBL201865,P00533,44407238
AC1NGINR,P00533,4750207
CHEMBL589119,P00533,46229856
CHEMBL1254363,P00533,46912444
AC1OC8CQ,P00533,6896871
CHEMBL589259,P00533,46207014
CHEMBL589590,P00533,46229566
1 H-indole-3-alkanamide deriv. 10b,P00533,5328570
CHEMBL1171273,P00533,49799785
CHEMBL591706,P00533,46229459
CHEMBL184555,P00533,44395145
CHEMBL184052,P00533,44395044
dithiobis(1H-indole-3-alkanoic acid) deriv. 23,P00533,5328554
CHEMBL365830,P00533,44395209
CHEMBL364576,P00533,44395241
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 49",P00533,5328874
CHEMBL1094784,P00533,46887112
"6,7-dialkoxyquinoline deriv. 53",P00533,5328878
CHEMBL521155,P00533,42603880
dithiobis(1H-indole-3-alkanoic acid) deriv. 26,P00533,5328557
CHEMBL589503,P00533,46207039
CHEMBL589165,P00533,46229685
CHEMBL590962,P00533,46229460
CHEMBL524820,P00533,10041429
1 H-indole-3-alkanamide deriv. 10a,P00533,5328569
"Cyanoquinoline, 11",P00533,17759555
CHEMBL393707,P00533,44435406
CHEMBL236383,P00533,44435409
CHEMBL312451,P00533,44315309
CHEMBL446633,P00533,44435408
CHEMBL238323,P00533,44435407
STK094301,P00533,3374314
CHEMBL483234,P00533,14862544
CHEMBL238273,P00533,44435435
dithiobis(1H-indole-3-carboxamide) deriv. 10l,P00533,5328603
CHEMBL498249,P00533,10759989
AC1LD2U9,P00533,611097
NSC717061,P00533,402810
CHEMBL158797,P00533,10347728
CHEMBL591437,P00533,46229539
1 H-indole-3-alkanamide deriv. 10k,P00533,5328579
dithiobis(1H-indole-3-carboxamide) deriv. 10t,P00533,5328611
CHEMBL314146,P00533,10682457
CHEMBL327725,P00533,44330742
CHEMBL59099,P00533,11314043
CHEMBL1095463,P00533,46887038
"1-Acyl-1H-[1,2,4]triazole-3,5-diamine Analogue 3c",P00533,5330800
CHEMBL214744,P00533,11582856
CHEMBL435054,P00533,10053637
1 H-indole-3-alkanamide deriv. 10c,P00533,5328571
CHEMBL345862,P00533,10100761
benzylidenemalononitrile (BMN) deriv. 22,P00533,5328788
CHEMBL1077095,P00533,45275942
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 14",P00533,5328846
CHEMBL326044,P00533,44345334
CHEMBL278287,P00533,44273559
"3,4-dihydroxybenzylidenemalononitrile",P00533,2052
"2-aminopyrido[2,3-d]pyrimidin-7(8H)-one 28",P00533,5327875
CHEMBL142420,P00533,10683468
CHEMBL136011,P00533,44355673
"2-aminopyrido[2,3-d]pyrimidin-7(8H)-one 19",P00533,5327866
CHEMBL589365,P00533,46229567
ZINC00946493,P00533,1185409
CHEMBL57553,P00533,9943194
CHEMBL56359,P00533,11280238
CHEMBL277931,P00533,11440028
CHEMBL135417,P00533,22692676
CHEMBL7929,P00533,10345125
PDSP1_000683,P00533,5328127
CHEMBL8036,P00533,10246831
CHEMBL132605,P00533,44355456
CHEMBL50977,P00533,44294903
CHEMBL589846,P00533,46207015
CHEMBL541334,P00533,45265103
CHEMBL135928,P00533,44355543
CHEMBL72984,P00533,44313484
CHEMBL591708,P00533,46229462
CHEMBL591707,P00533,46229461
CHEMBL591052,P00533,46229684
CHEMBL212084,P00533,44414322
CHEMBL600795,P00533,46232443
CHEMBL602472,P00533,46232556
CHEMBL602471,P00533,46232555
CHEMBL213743,P00533,44414347
CHEMBL590997,P00533,46229464
CHEMBL590759,P00533,46229463
CHEMBL267941,P00533,10360971
CHEMBL268441,P00533,10361853
CHEMBL202216,P00533,44407248
CHEMBL209148,P00533,11467730
CHEMBL266969,P00533,10450005
nchembio.246-comp2,P00533,10318148
CHEMBL590081,P00533,46207037
CHEMBL72560,P00533,13492276
CHEMBL8163,P00533,10325906
CHEMBL8000,P00533,10046873
CHEMBL377734,P00533,11632737
CHEMBL357695,P00533,10502559
AC1MHPCZ,P00533,3008965
CHEMBL8223,P00533,10434923
CHEMBL418279,P00533,11338122
AC1MDY7A,P00533,2844935
AIDS078817,P00533,6477203
diselenobis(1H-indole) deriv. 30a,P00533,5328105
"pyrido(2,3-d)pyrimidine",P00533,1401
CHEMBL1099339,P00533,46888666
CHEMBL309073,P00533,44315117
CHEMBL1081198,P00533,11755812
benzylidenemalononitrile (BMN) deriv. 45,P00533,5328802
Bisindolylmaleimide,P00533,2399
CHEMBL424625,P00533,44345675
AC1MHPBZ,P00533,3008950
4-Anilino quinazoline deriv. 11,P00533,5328016
4-Anilidoquinazoline deriv. 35b,P00533,5328833
4-Anilidoquinazoline deriv. 34b,P00533,5328832
4-Anilidoquinazoline deriv. 32b,P00533,5328830
Serotonin hydrochloride,P00533,160436
4-Anilidoquinazoline deriv. 26a,P00533,5328826
4-(2-Methoxyethyl)phenol,P00533,92516
4-Anilidoquinazoline deriv. 33b,P00533,5328831
CHEMBL88405,P00533,44321734
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 11",P00533,5328843
1 H-indole-3-alkanamide deriv. 10p,P00533,5328584
dithiobis(1H-indole-3-alkanoic acid) deriv. 21,P00533,5328551
CHEMBL1254199,P00533,52948634
CHEMBL120719,P00533,44345676
dithiobis(1H-indole-3-carboxamide) deriv. 10n,P00533,5328605
CHEMBL1094475,P00533,46886973
CHEMBL1087055,P00533,45276111
Ambcb9199930,P00533,30851656
CHEMBL1097368,P00533,46887397
Indolin-2-one deriv. 9d,P00533,5329166
CHEMBL603198,P00533,44246327
CHEMBL7699,P00533,10564143
CHEMBL21096,P00533,44273600
Tyrphostin deriv. 21,P00533,5328758
benzylidenemalononitrile (BMN) deriv. 49,P00533,5328805
CHEMBL1084117,P00533,45276113
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 33",P00533,5328865
CHEMBL214999,P00533,44416334
ZINC03056377,P00533,2302598
"7-Aminopyrido[4,3-d]pyrimidine 7d",P00533,5328054
CHEMBL20926,P00533,9864718
NSC60406,P00533,1551085
1 H-indole-3-alkanamide deriv. 10g,P00533,5328575
"7-Aminopyrido[4,3-d]pyrimidine 7q",P00533,5328066
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 40",P00533,5328872
CHEMBL132170,P00533,44352845
CHEMBL78249,P00533,44318047
"6,7-dimethoxyisoquinoline-4-carbonitrile deriv. 61",P00533,5328885
CHEMBL520515,P00533,12814948
CHEMBL277430,P00533,44273619
CHEMBL414013,P00533,10106603
CHEMBL73625,P00533,13492275
CHEMBL309937,P00533,13492273
CHEMBL1077069,P00533,45276282
CHEMBL98137,P00533,44330975
CHEMBL1077085,P00533,46881285
"4-Anilino-6,7-dialkoxyquinoline deriv. 5",P00533,5328837
CHEMBL485246,P00533,42604008
3-substituted indolin-2-one 16d,P00533,5329148
CHEMBL120564,P00533,44345337
"6,7-dimethoxyisoquinoline-4-carbonitrile deriv. 62",P00533,5328886
CHEMBL1077068,P00533,45276281
benzylidenemalononitrile (BMN) deriv. 21,P00533,5328787
1 H-indole-3-alkanamide deriv. 10d,P00533,5328572
CHEMBL504135,P00533,42604009
CHEMBL21108,P00533,21197160
CHEMBL279035,P00533,44273618
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 30",P00533,5328862
CHEMBL1094808,P00533,46886974
CHEMBL501256,P00533,42603881
CHEMBL1087054,P00533,45276110
CHEMBL19978,P00533,44273528
CHEMBL1095776,P00533,46887039
CHEMBL1077107,P00533,46881284
AC1NWVF0,P00533,5713379
AC1M62TH,P00533,2365265
"Pyrimido[5,4-b]indole deriv. 41",P00533,938880
Dimeric Tyrphostin 21,P00533,5329269
CHEMBL383999,P00533,11705545
diselenobis(1H-indole) deriv. 21,P00533,5328098
CHEMBL386052,P00533,44416596
AC1NS6G5,P00533,5329277
AC1M5Q2K,P00533,2358462
CHEMBL380168,P00533,44416569
"7-Aminopyrido[4,3-d]pyrimidine 8s",P00533,5328095
"7-Aminopyrido[4,3-d]pyrimidine 8q",P00533,5328093
"Pyrimido[5,4-b]indole deriv. 40",P00533,5328389
"7-Aminopyrido[4,3-d]pyrimidine 8m",P00533,5328089
"7-Aminopyrido[4,3-d]pyrimidine 8k",P00533,5328087
CHEMBL56669,P00533,11233762
CHEMBL386579,P00533,11640601
AC1L4IQE,P00533,157820
AC1LIXJS,P00533,964113
AC1LDYS1,P00533,727518
CHEMBL386296,P00533,11690494
AC1L8BTN,P00533,375458
1 H-indole-3-alkanamide deriv. 11a,P00533,5328589
CHEMBL347256,P00533,9985870
CHEMBL345622,P00533,10076837
CHEMBL341459,P00533,10470221
CHEMBL73402,P00533,13498036
2-thioxo-1H-indole-3-alkanoic acid deriv. 14,P00533,5328544
2-thioxo-1H-indole-3-alkanoic acid deriv. 15,P00533,5328545
CHEMBL58580,P00533,10111108
CHEMBL74038,P00533,14862538
1 H-indole-3-alkanamide deriv. 10m,P00533,5328581
CHEMBL330321,P00533,10264222
2-thioxo-1H-indole-3-alkanoic acid deriv. 17,P00533,5328547
CHEMBL102301,P00533,9890746
dithiobis(1H-indole-3-alkanoic acid) deriv. 37,P00533,5328568
CHEMBL103055,P00533,10207821
CHEBI:647677,P00533,44359680
CHEBI:645821,P00533,44460497
dithiobis(1H-indole-3-alkanoic acid) deriv. 36,P00533,5328567
CHEBI:645820,P00533,44460803
CHEMBL58142,P00533,10292737
ZINC00586193,P00533,5293755
CHEMBL349322,P00533,11756855
CHEMBL57581,P00533,19966997
CHEMBL348069,P00533,10327197
CHEMBL349762,P00533,10032479
CHEMBL352010,P00533,10437879
AC1O0CK7,P00533,6036100
AC1O6VYY,P00533,6536705
CHEMBL415233,P00533,10484487
Arcyriaflavin A,P00533,5327723
1 H-indole-3-alkanamide deriv. 10q,P00533,5328585
dithiobis(1H-indole-3-alkanoic acid) deriv. 30,P00533,5328561
ZINC00575064,P00533,5427224
CHEMBL57690,P00533,11311217
CHEMBL345641,P00533,10875157
dithiobis(1H-indole-3-alkanoic acid) deriv. 24,P00533,5328555
1 H-indole-3-alkanamide deriv. 10u,P00533,5328588
AC1NZ3T8,P00533,5874584
CHEMBL423288,P00533,44273620
3-substituted indolin-2-one 16e,P00533,5329149
3-substituted indolin-2-one 16f,P00533,5329150
3-substituted indolin-2-one 16g,P00533,5329151
3-substituted indolin-2-one 16c,P00533,5329147
3-substituted indolin-2-one 16b,P00533,5329146
3-substituted indolin-2-one 11f,P00533,5329143
3-substituted indolin-2-one 11g,P00533,5329144
3-substituted indolin-2-one 11h,P00533,5329145
3-substituted indolin-2-one 16h,P00533,5329152
3-substituted indolin-2-one 16i,P00533,5329153
su5402,P00533,5289418
CHEMBL8222,P00533,10407176
CHEMBL8271,P00533,10248155
CHEMBL8091,P00533,10476762
3-substituted indolin-2-one 9c,P00533,5329136
3-substituted indolin-2-one 9a,P00533,5329134
3-substituted indolin-2-one 9b,P00533,5329135
3-substituted indolin-2-one 11e,P00533,5329142
3-substituted indolin-2-one 11d,P00533,5329141
2-thioxo-1H-indole-3-carboxamide deriv. 11,P00533,5328621
2-thioxo-1H-indole-3-carboxamide deriv. 12,P00533,5328622
CHEMBL7801,P00533,10538965
2-thioxo-1H-indole-3-alkanoic acid deriv. 8,P00533,5328538
2-thioxo-1H-indole-3-alkanoic acid deriv. 7,P00533,5328537
2-thioxo-1H-indole-3-alkanoic acid deriv. 18,P00533,5328548
2-thioxo-1H-indole-3-alkanoic acid deriv. 19,P00533,5328549
2-thioxo-1H-indole-3-alkanoic acid deriv. 6,P00533,5328536
2-thioxo-1H-indole-3-carboxamide deriv. 13,P00533,5328623
2-thioxo-1H-indole-3-carboxamide deriv. 14,P00533,5328624
3-substituted indolin-2-one 11a,P00533,5329138
3-substituted indolin-2-one 11b,P00533,5329139
3-substituted indolin-2-one 11c,P00533,5329140
2-thioxo-1H-indole-3-alkanoic acid deriv. 16,P00533,5328546
CHEMBL55683,P00533,9814609
2-thioxo-1H-indole-3-carboxamide deriv. 9g,P00533,5328619
2-thioxo-1H-indole-3-carboxamide deriv. 9z,P00533,5328620
CHEMBL85403,P00533,10489322
CHEMBL86432,P00533,10779668
CHEMBL99743,P00533,9911005
CHEMBL56081,P00533,9860872
CHEMBL55662,P00533,9799152
CHEMBL98934,P00533,11129889
quinoxaline deriv. 24,P00533,5328022
CHEMBL89809,P00533,10755069
CHEMBL90277,P00533,10663503
4-[(4-METHYLPIPERAZIN-1-YL)METHYL]-N-{3-[(4-PYRIDIN-3-YLPYRIMIDIN-2-YL)AMINO]PHENYL}BENZAMIDE,P00533,4369496
CHEMBL443169,P00533,10674806
CHEMBL442388,P00533,44330534
CHEMBL420411,P00533,10587839
1 H-indole-3-alkanamide deriv. 11j,P00533,5328591
CHEMBL418270,P00533,9947433
CHEMBL422540,P00533,15249955
CHEMBL329367,P00533,44321717
CHEMBL431818,P00533,44330976
CHEMBL431025,P00533,10562306
ZINC00058157,P00533,689033
CHEMBL89721,P00533,10636005
SU 4312,P00533,6450842
STK114426,P00533,2379240
CHEMBL87208,P00533,10728035
3[4-(1-Formylpiperazin-4-yl)benzylidenyl]-2-indolinone,P00533,5941540
CHEMBL86945,P00533,9995374
CHEMBL86944,P00533,44321395
3-substituted indolin-2-one 9d,P00533,5329137
CHEMBL87324,P00533,10753550
CHEMBL87325,P00533,10658651
CHEMBL89040,P00533,10593765
CHEMBL89483,P00533,10562777
CHEMBL89646,P00533,44321265
4-Anilidoquinazoline deriv. 22b,P00533,5328823
4-Anilidoquinazoline deriv. 1a,P00533,5328816
4-Anilidoquinazoline deriv. 11b,P00533,5328818
CHEMBL87402,P00533,10658047
CHEMBL418010,P00533,10136330
CHEMBL72976,P00533,10495153
Indolin-2-one deriv. 4a,P00533,5329154
Indolin-2-one deriv. 4c,P00533,5329156
N-(2-methyl-5-nitrophenyl)-4-(pyridin-3-yl)pyrimidin-2-amine,P00533,10686149
CHEMBL300817,P00533,11737638
CHEMBL310923,P00533,13492283
CHEMBL27085,P00533,10248747
Indolin-2-one deriv. 4d,P00533,5329157
Indolin-2-one deriv. 4e,P00533,5329158
CHEMBL120077,P00533,9797370
Indolin-2-one deriv. 4i,P00533,5329162
Indolin-2-one deriv. 4h,P00533,5329161
Indolin-2-one deriv. 4g,P00533,5329160
Indolin-2-one deriv. 4f,P00533,5329159
CHEMBL313433,P00533,10635478
CHEMBL59036,P00533,10110378
CHEMBL116051,P00533,10445729
CHEMBL116353,P00533,10085171
CHEMBL115601,P00533,10356450
CHEMBL115397,P00533,10468973
CHEMBL115103,P00533,10264201
CHEMBL117055,P00533,44345353
CHEMBL319894,P00533,11729539
CHEMBL316008,P00533,10613858
CHEMBL314798,P00533,10663368
CHEMBL316009,P00533,10215023
dithiobis(1H-indole-3-carboxamide) deriv. 10y,P00533,5328616
CHEMBL316020,P00533,10236164
Indolin-2-one deriv. 9a,P00533,5329163
N-(2-chlorophenyl)-6-methylquinazolin-4-amine,P00533,721003
CHEMBL277667,P00533,44273526
CHEMBL278630,P00533,44273476
NSC655246,P00533,5467527
isoquinoline deriv. 21,P00533,4321095
CHEMBL291963,P00533,11723151
CHEMBL131456,P00533,44352791
CHEMBL131405,P00533,44353452
2-thioxo-1H-indole-3-alkanoic acid deriv. 11,P00533,5328541
CHEMBL129856,P00533,9818362
K00004,P00533,6419834
CHEMBL60816,P00533,10708835
CHEMBL130633,P00533,44353341
CHEMBL156020,P00533,10483554
Indolin-2-one deriv. 9i,P00533,5329171
Indolin-2-one deriv. 9f,P00533,5329168
ZINC04038356,P00533,5707304
CHEMBL173647,P00533,9949448
Indolin-2-one deriv. 9e,P00533,5329167
Indolin-2-one deriv. 9b,P00533,5329164
CHEMBL106966,P00533,10905857
CHEMBL299707,P00533,10157645
Indolin-2-one deriv. 9h,P00533,5329170
CHEMBL156281,P00533,10053638
CHEMBL158596,P00533,10327196
"(Z)-5-Bromo-3-(4,5,6,7-tetrahydro-1H-indol-2-ylmethylene)-1,3-dihydroindol",P00533,5329155
CHEMBL158879,P00533,12484326
CHEMBL129989,P00533,10086212
dithiobis(1H-indole-3-carboxamide) deriv. 10v,P00533,5328613
CHEMBL328452,P00533,10537949
dithiobis(1H-indole-3-carboxamide) deriv. 10i,P00533,5328600
NSC659143,P00533,269623
CHEMBL1087566,P00533,45276458
dithiobis(1H-indole-3-carboxamide) deriv. 10f,P00533,5328597
CHEMBL1087440,P00533,45276457
CHEMBL215280,P00533,11583431
dithiobis(1H-indole-3-carboxamide) deriv. 10j,P00533,5328601
dithiobis(1H-indole-3-carboxamide) deriv. 10m,P00533,5328604
CHEMBL21162,P00533,9953676
(2e)-2-cyano-3-(naphthalen-1-yl)prop-2-enamide,P00533,730856
CHEMBL211982,P00533,44416347
ZINC05776797,P00533,5329278
CHEMBL21215,P00533,44273595
(1-Naphthylmethylene)malononitrile,P00533,18092
dithiobis(1H-indole-3-carboxamide) deriv. 10c,P00533,5328594
CHEMBL1082230,P00533,45276456
dithiobis(1H-indole-3-carboxamide) deriv. 10b,P00533,5328593
CHEMBL1077086,P00533,46881286
CHEMBL1077070,P00533,45276283
CHEMBL1083509,P00533,45276454
CHEMBL1083817,P00533,45276455
CHEMBL1086151,P00533,45276280
CHEMBL1086152,P00533,45276284
CHEMBL1084118,P00533,45276114
NSC655254,P00533,5465574
dithiobis(1H-indole-3-carboxamide) deriv. 10d,P00533,5328595
CHEMBL115102,P00533,10265006
CHEMBL323660,P00533,10264200
N-(5-Amino-2-methylphenyl)-4-(3-pyridyl)-2-pyrimidineamine,P00533,9965429
dithiobis(1H-indole-3-carboxamide) deriv. 10u,P00533,5328612
CHEMBL20252,P00533,10181160
CHEMBL20867,P00533,9822042
dithiobis(1H-indole-3-carboxamide) deriv. 10s,P00533,5328610
(3Z)-3-[[4-(1-piperidyl)phenyl]methylidene]-1H-indol-2-one,P00533,9948410
CHEMBL112421,P00533,11777791
CHEMBL112422,P00533,10038606
CHEMBL114568,P00533,10423146
CHEMBL114578,P00533,10355659
phthalazine deriv. 23,P00533,5328021
CHEMBL114550,P00533,10333957
2-thioxo-1H-indole-3-alkanoic acid deriv. 12,P00533,5328542
dithiobis(1H-indole-3-carboxamide) deriv. 10p,P00533,5328607
CHEMBL323336,P00533,10457505
CHEMBL21079,P00533,44273555
CHEMBL21078,P00533,44273554
CHEMBL21086,P00533,44273659
dithiobis(1H-indole-3-carboxamide) deriv. 10q,P00533,5328608
CHEMBL231526,P00533,23625758
CHEMBL55592,P00533,11474111
NSC651712,P00533,5328748
(3Z)-3-[(4-pyrrolidin-1-ylphenyl)methylidene]-1H-indol-2-one,P00533,5427216
CHEMBL267869,P00533,10407341
CHEMBL266255,P00533,10450849
oxindole i,P00533,5908088
"6,7-dialkoxyquinoline deriv. 51",P00533,5328876
"6,7-dialkoxyquinoline-3-carbonitrile deriv. 50",P00533,5328875
benzylidenemalononitrile (BMN) deriv. 65,P00533,5328812
CHEMBL1232058,P00533,44246320
Dimeric Tyrphostin 11,P00533,5329264
benzylidenemalononitrile (BMN) deriv. 20,P00533,5328786
CHEMBL482715,P00533,25022735
CHEMBL1254444,P00533,46912446
CHEMBL6976,P00533,15411595
"2,4-diaminofuro[2,3-d]pyrimidine, 2",P00533,44246319
CHEMBL1095131,P00533,46886971
CHEMBL266182,P00533,44273647
Vidarabine,P00533,6713976
alpha-cyano-4-hydroxycinnamic acid,P00533,5328791
CHEMBL1096972,P00533,46887298
AIDS078817,P00533,11687971
CHEMBL1096737,P00533,46887300
CHEMBL20255,P00533,44273652
CHEMBL20811,P00533,44273597
CHEMBL1097743,P00533,46887299
CHEMBL21263,P00533,44273617
CHEMBL520803,P00533,44586526
"2,4-diaminofuro[2,3-d]pyrimidine, 6",P00533,44246323
"2,4-diaminofuro[2,3-d]pyrimidine, 7",P00533,44246324
CHEMBL1094423,P00533,46887255
CHEMBL509544,P00533,44565965
CHEMBL21267,P00533,44273699
OH-Name-PA,P00533,129317
CHEMBL1096415,P00533,46887348
CHEMBL483312,P00533,25022736
CHEMBL21265,P00533,19037238
CHEMBL1096416,P00533,46887349
CHEMBL277008,P00533,44273560
CHEMBL278071,P00533,44273527
CHEMBL277011,P00533,44273491
CHEMBL277432,P00533,44273653
"2,4-diaminofuro[2,3-d]pyrimidine, 4",P00533,44246321
CHEMBL278101,P00533,44273646
CHEMBL282655,P00533,44273599
CHEMBL278757,P00533,44273623
CHEMBL283766,P00533,44273598
CHEMBL278526,P00533,44273605
CHEMBL282436,P00533,17874201
CHEMBL594339,P00533,44246330
CHEMBL277408,P00533,44273700
CHEMBL277039,P00533,44273561
CHEMBL21221,P00533,44273624
CHEMBL499067,P00533,44586577
CHEMBL428453,P00533,44273654
CHEMBL1254285,P00533,46912443
CHEMBL455328,P00533,44565943
CHEMBL1254522,P00533,52947574
CHEMBL447069,P00533,44565948
CHEMBL474561,P00533,44565958
benzylidenemalononitrile (BMN) deriv. 19,P00533,5328785
benzylidenemalononitrile (BMN) deriv. 35,P00533,5328792
5-Bromo vanillylidenemalononitrile,P00533,57591
3-Pyridylmethylenemalononitrile,P00533,23905
benzylidenemalononitrile (BMN) deriv. 68,P00533,5328813
benzylidenemalononitrile (BMN) deriv. 43,P00533,5328800
5-Nitrovanillylidenemalononitrile,P00533,58857
BRN 3538924,P00533,44390
ZINC00068542,P00533,694921
Tyrphostin deriv. 2,P00533,5328744
CHEMBL1254286,P00533,52941368
ZINC00164240,P00533,2795373
Vanillylidenemalononitrile,P00533,19424
CHEMBL1094783,P00533,46887111
CHEMBL1094782,P00533,46887110
CHEMBL1095466,P00533,46887074
CHEMBL1095762,P00533,46845026
CHEMBL1098440,P00533,46887113
BAS 01048999,P00533,779773
ZINC05515439,P00533,5329276
"4'-(2,2-Dicyanovinyl)acetanilide",P00533,33296
benzylidenemalononitrile (BMN) deriv. 69,P00533,5328814
CHEMBL449114,P00533,44576154
benzylidenemalononitrile (BMN) deriv. 42,P00533,5328799
CHEMBL606362,P00533,44246329
benzylidenemalononitrile (BMN) deriv. 41,P00533,5328798
Piperonylidenemalononitrile,P00533,18091
"2,4-diaminofuro[2,3-d]pyrimidine, 5",P00533,44246322
Tyrphostin deriv. 4,P00533,5328746
NSC74439,P00533,252473
BAS 00632217,P00533,707914
CHEMBL450319,P00533,44576155
BRN 1842409,P00533,121059
CHEMBL489349,P00533,44576156
ZINC00100467,P00533,710163
benzylidenemalononitrile (BMN) deriv. 12,P00533,5328784
Cinnbzmeprcn2,P00533,5328783
benzylidenemalononitrile (BMN) deriv. 10,P00533,2046
Malonoben,P00533,5614
m-Hydroxybenzylidenemalononitrile,P00533,92970
2-cyano-3-(4-hydroxyphenyl)prop-2-enamide,P00533,5328796
Tyrphostin deriv. 6,P00533,5328747
